IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 6993: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 6994: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 6995: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 6996: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 6997: This is number 4 | confidence 89% | expected 4 | CORRECT
IMG 6998: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 6999: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7000: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7001: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 7002: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7003: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7004: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7005: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7006: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7007: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7008: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 7009: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7010: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 7011: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7012: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7013: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7014: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7015: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7016: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 7017: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7018: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 7019: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7020: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7021: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 7022: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7023: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7024: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7025: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7026: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7027: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7028: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7029: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7030: This is number 7 | confidence 88% | expected 7 | CORRECT
IMG 7031: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 7032: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 7033: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7034: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7035: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 7036: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7037: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7038: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7039: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7040: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7041: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7042: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7043: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7044: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7045: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7046: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7047: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7048: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7049: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 7050: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7051: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7052: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7053: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7054: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7055: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7056: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7057: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7058: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 7059: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7060: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7061: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 7062: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7063: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7064: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7065: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7066: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7067: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7068: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7069: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7070: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7071: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7072: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7073: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7074: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7075: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 7076: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7077: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7078: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7079: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7080: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7081: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 7082: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7083: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7084: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7085: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7086: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7087: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7088: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7089: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7090: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7091: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7092: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7093: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7094: This is number 8 | confidence 69% | expected 8 | CORRECT
IMG 7095: This is number 9 | confidence 84% | expected 9 | CORRECT
IMG 7096: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7097: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7098: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7099: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7100: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7101: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7102: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7103: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7104: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 7105: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7106: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 7107: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7108: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7109: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7110: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7111: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7112: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7113: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7114: This is number 8 | confidence 95% | expected 8 | CORRECT
IMG 7115: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7116: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7117: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 7118: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 7119: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7120: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7121: NOT A NUMBER | confidence 20% | expected 8 | TRASH
IMG 7122: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7123: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7124: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7125: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7126: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7127: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 7128: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7129: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7130: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 7131: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7132: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 7133: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7134: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7135: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7136: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 7137: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7138: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7139: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7140: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 7141: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7142: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7143: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 7144: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7145: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7146: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7147: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7148: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 7149: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7150: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7151: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7152: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7153: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7154: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 7155: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7156: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7157: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7158: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 7159: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7160: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7161: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7162: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7163: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7164: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 7165: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7166: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7167: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7168: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7169: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7170: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 7171: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7172: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7173: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7174: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 7175: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7176: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7177: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 7178: This is number 5 | confidence 90% | expected 5 | CORRECT
IMG 7179: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 7180: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7181: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7182: This is number 9 | confidence 78% | expected 9 | CORRECT
IMG 7183: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7184: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7185: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7186: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7187: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7188: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7189: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7190: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 7191: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 7192: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7193: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7194: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7195: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 7196: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7197: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 7198: This is number 8 | confidence 85% | expected 8 | CORRECT
IMG 7199: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7200: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7201: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7202: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7203: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7204: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 7205: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7206: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7207: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 7208: This is number 8 | confidence 91% | expected 8 | CORRECT
IMG 7209: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 7210: This is number 6 | confidence 87% | expected 6 | CORRECT
IMG 7211: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7212: This is number 2 | confidence 79% | expected 2 | CORRECT
IMG 7213: This is number 6 | confidence 91% | expected 6 | CORRECT
IMG 7214: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7215: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7216: This is number 0 | confidence 86% | expected 0 | CORRECT
IMG 7217: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 7218: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7219: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7220: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 7221: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7222: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7223: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 7224: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 7225: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7226: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7227: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 7228: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7229: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7230: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7231: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7232: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7233: NOT A NUMBER | confidence 23% | expected 3 | TRASH
IMG 7234: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7235: This is number 2 | confidence 87% | expected 2 | CORRECT
IMG 7236: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7237: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7238: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 7239: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7240: This is number 5 | confidence 82% | expected 5 | CORRECT
IMG 7241: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 7242: This is number 9 | confidence 78% | expected 9 | CORRECT
IMG 7243: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 7244: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7245: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7246: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7247: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7248: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 7249: This is number 2 | confidence 91% | expected 2 | CORRECT
IMG 7250: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7251: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7252: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7253: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7254: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7255: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7256: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 7257: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7258: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 7259: This is number 8 | confidence 85% | expected 8 | CORRECT
IMG 7260: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7261: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7262: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7263: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 7264: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7265: This is number 8 | confidence 85% | expected 8 | CORRECT
IMG 7266: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7267: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7268: This is number 7 | confidence 79% | expected 7 | CORRECT
IMG 7269: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7270: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7271: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7272: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7273: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7274: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7275: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7276: This is number 7 | confidence 90% | expected 7 | CORRECT
IMG 7277: This is number 8 | confidence 83% | expected 8 | CORRECT
IMG 7278: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 7279: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7280: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7281: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7282: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 7283: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 7284: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7285: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7286: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 7287: This is number 8 | confidence 87% | expected 8 | CORRECT
IMG 7288: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 7289: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7290: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7291: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7292: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7293: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7294: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7295: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7296: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7297: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 7298: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7299: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7300: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 7301: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7302: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7303: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7304: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7305: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 7306: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7307: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7308: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7309: This is number 8 | confidence 90% | expected 8 | CORRECT
IMG 7310: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7311: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 7312: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7313: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7314: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7315: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7316: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7317: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7318: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7319: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7320: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 7321: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7322: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 7323: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7324: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7325: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7326: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7327: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7328: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7329: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 7330: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7331: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7332: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7333: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 7334: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 7335: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7336: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7337: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 7338: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 7339: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7340: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7341: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7342: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7343: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7344: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7345: This is number 2 | confidence 89% | expected 2 | CORRECT
IMG 7346: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7347: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7348: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7349: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7350: This is number 3 | confidence 88% | expected 3 | CORRECT
IMG 7351: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7352: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7353: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7354: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7355: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7356: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 7357: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7358: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7359: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7360: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7361: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 7362: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7363: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 7364: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7365: This is number 3 | confidence 87% | expected 3 | CORRECT
IMG 7366: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7367: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7368: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7369: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7370: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 7371: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7372: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7373: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7374: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7375: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 7376: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7377: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7378: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7379: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7380: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7381: This is number 0 | confidence 90% | expected 0 | CORRECT
IMG 7382: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 7383: This is number 8 | confidence 94% | expected 8 | CORRECT
IMG 7384: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 7385: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 7386: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7387: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7388: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 7389: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 7390: This is number 7 | confidence 92% | expected 7 | CORRECT
IMG 7391: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7392: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 7393: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7394: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7395: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7396: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 7397: This is number 5 | confidence 94% | expected 5 | CORRECT
IMG 7398: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7399: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7400: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 7401: This is number 3 | confidence 89% | expected 3 | CORRECT
IMG 7402: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7403: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 7404: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 7405: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7406: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 7407: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 7408: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 7409: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 7410: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 7411: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 7412: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 7413: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 7414: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 7415: This is number 6 | confidence 94% | expected 6 | CORRECT
